"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10360","11760","12230","13190","13990","14620","15640","16230","16370","17220","17620","17880","20000","19170","17890","20070","22630","19200","23340","21680","25510","23770","22380","22450","23520","24510","25350","26560","26840","27120","","","",
"Africa Eastern and Southern","AFE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","568.196090104594","540.046977999128","486.194801865184","492.053833480022","560.784350025164","633.730627598461","656.757953189233","638.187940506141","661.923913246002","663.296476471532","678.567856735392","690.710175735385","735.513147009074","746.580460718535","749.579052185558","692.41969097757","671.265299230111","666.057795197279","639.019118124078","623.727914597921","673.80156446705","820.064802317591","1026.51647604615","1155.05119581275","1266.13837925514","1351.93441148933","1366.99170691135","1435.15872384523","1561.77157000848","1667.1009612926","1695.77592574663","1675.05185671754","1577.51051610509","1473.13319298071","1439.40958414127","1492.65005170084","1533.65147932163","1403.88349370155",
"Afghanistan","AFG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450","510","530","630","650","630","590","550","530","510","520","500",
"Africa Western and Central","AFW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","113.682774720585","122.151562723855","128.210426763014","133.154858775704","136.076073342751","128.792832563175","130.417219660746","143.033752317414","170.464729858424","179.002735629144","192.907347266948","216.294809423731","300.837412765683","358.214598566145","422.63865691887","455.231022315787","478.73628299449","558.914950782172","646.021027582754","762.946789872852","876.473866512333","925.185268363174","757.908977058447","685.766304771185","623.020924454693","614.855207700361","630.142669573591","563.566102942305","556.065001857948","541.615077627494","552.706213225852","471.93220842623","416.300539701013","407.933065475634","427.100408863607","465.582077571277","463.578133149452","465.941051025835","456.075182167284","480.245828307961","525.026891518552","587.682866956194","714.611721026501","844.712632338996","1032.37320177792","1199.46586124875","1446.55427839839","1518.44423776218","1575.79647271806","1605.67304967173","1774.03499784381","1931.80795617869","2081.01568492675","1992.75144703597","1769.72636735174","1611.48948341847","1611.86561950205","1669.1533225327","1654.42565980847",
"Angola","AGO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","590","680","670","650","860","780","1380","1170","","330","440","320","450","410","330","360","390","590","710","1010","1370","1810","2460","3030","3170","3230","3410","4170","4780","5010","4520","3770","3450","3210","2970","2140",
"Albania","ALB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","700","730","730","760","650","410","280","320","380","640","890","800","860","950","1100","1280","1370","1650","2100","2620","3050","3460","4040","4280","4360","4410","4360","4540","4540","4390","4320","4290","4860","5230","5210",
"Andorra","AND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","2936.41431630194","2564.6196993837","2522.76306575415","2487.70699603569","2655.3211846932","2732.33512311824","2774.58762596409","2639.76274862053","3003.01813859265","2191.63377036409","2235.82953077428","2138.74552111004","2130.78287725968","2183.70805904289","2313.77965275676","2422.57815024758","2437.87549718059","2454.14543777649","2613.42498443436","2724.93050767094","2687.95110641738","2868.13986545119","3326.69892193781","3789.23134553048","4372.59012673458","5019.75480452438","5879.75655212063","5996.98107666968","6286.2725264607","6212.71402175426","6924.02096436772","7326.71047459008","7348.38476520171","6848.16973083526","6384.60465775447","5912.77668316482","6142.11476016648","6389.47490337373","5905.20794534843",
"United Arab Emirates","ARE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31400","31970","30940","32780","36160","37500","39380","39590","39910","35000","33400","35030","39220","42840","44370","42870","40550","39280","41470","43830","39410",
"Argentina","ARG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","1120","1230","1350","1240","1210","1300","1320","1470","1470","1820","2470","2720","2360","2220","2190","2630","2910","2820","2670","2870","2830","2700","3020","3590","3960","2930","3190","3860","6070","7120","7620","7360","7740","8150","8030","7580","7470","7000","4040","3650","3370","4260","5480","6510","7670","7790","9270","10710","11870","12840","12330","12590","12220","13140","12430","11250","9070",
