0,Author,DOI,Journal Title,Publication Date,Title,Academic Department Description,Course Code,Course Instructor Primary Identifier,Course Status,Course Year,Searchable ID 1,Citation Type,Reading List Code,Reading List Name
0,"Smeets, Jeroen B. J ; Brenner, Eli",10.1037/0096-1523.32.6.1501,Journal of experimental psychology. Human perception and performance,2006-12,10 Years of Illusions,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Smeets, Jeroen B. J ; Brenner, Eli",10.1037/0096-1523.32.6.1501,Journal of experimental psychology. Human perception and performance,2006-12,10 Years of Illusions,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Salvucci, Dario D ; Gray, Rob",10.1068/p5343,Perception (London),2004-10,A Two-Point Visual Control Model of Steering,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Salvucci, Dario D ; Gray, Rob",10.1068/p5343,Perception (London),2004-10,A Two-Point Visual Control Model of Steering,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Salvucci, Dario D ; Gray, Rob",10.1068/p5343,Perception (London),2004-10,A Two-Point Visual Control Model of Steering,,EXLIBRIS_DEFAULT_COURSE,,Inactive,,,Physical Article,0.3437744242961218,Mark's Reading List
0,"Findlay, John M ; Walker, Robin",10.1017/S0140525X99002150,The Behavioral and brain sciences,1999-08,A model of saccade generation based on parallel processing and competitive inhibition,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Findlay, John M ; Walker, Robin",10.1017/S0140525X99002150,The Behavioral and brain sciences,1999-08,A model of saccade generation based on parallel processing and competitive inhibition,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Spiers, Hugo J ; Maguire, Eleanor A",10.1002/hipo.20298,Hippocampus,2007-08,A navigational guidance system in the human brain,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Spiers, Hugo J ; Maguire, Eleanor A",10.1002/hipo.20298,Hippocampus,2007-08,A navigational guidance system in the human brain,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Wilkie, Richard M ; Wann, John P ; Allison, Robert S",10.1037/0096-1523.34.5.1150,Journal of experimental psychology. Human perception and performance,2008-10,"Active Gaze, Visual Look-Ahead, and Locomotor Control",School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Wilkie, Richard M ; Wann, John P ; Allison, Robert S",10.1037/0096-1523.34.5.1150,Journal of experimental psychology. Human perception and performance,2008-10,"Active Gaze, Visual Look-Ahead, and Locomotor Control",School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Körding, Konrad P ; Wolpert, Daniel M",10.1016/j.tics.2006.05.003,Trends in cognitive sciences,2006,Bayesian decision theory in sensorimotor control,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Körding, Konrad P ; Wolpert, Daniel M",10.1016/j.tics.2006.05.003,Trends in cognitive sciences,2006,Bayesian decision theory in sensorimotor control,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Collett, Matthew ; Collett, Thomas S ; Wehner, Rüdiger",10.1016/S0960-9822(99)80451-5,Current biology,1999-09-23,Calibration of vector navigation in desert ants,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Collett, Matthew ; Collett, Thomas S ; Wehner, Rüdiger",10.1016/S0960-9822(99)80451-5,Current biology,1999-09-23,Calibration of vector navigation in desert ants,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Ng, Wan",10.1016/j.compedu.2012.04.016,Computers and education,2012-11,Can we teach digital natives digital literacy?,Null,RLTS_MM0000,00933255,Active,,,Physical Article,0.684406036369916,Reading List
0,"Kandil, Farid I ; Rotter, Alexander ; Lappe, Markus",10.1167/10.4.24,"Journal of vision (Charlottesville, Va.)",2010,Car drivers attend to different gaze targets when negotiating closed vs. open bends,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Kandil, Farid I ; Rotter, Alexander ; Lappe, Markus",10.1167/10.4.24,"Journal of vision (Charlottesville, Va.)",2010,Car drivers attend to different gaze targets when negotiating closed vs. open bends,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Hillis, J.H ; Ernst, M.O ; Banks, M.S ; Landy, M.S",10.1126/science.1075396,Science (American Association for the Advancement of Science),2002-11-22,"Combining Sensory Information: Mandatory Fusion within, but Not between, Senses",School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Hillis, J.H ; Ernst, M.O ; Banks, M.S ; Landy, M.S",10.1126/science.1075396,Science (American Association for the Advancement of Science),2002-11-22,"Combining Sensory Information: Mandatory Fusion within, but Not between, Senses",School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Alison Hicks, Annemaree Lloyd, Alison Hicks, Annemaree Lloyd",10.1177/0961000620966027,Journal of Librarianship and Information Science,2020,Deconstructing information literacy discourse: Peeling back the layers in higher education,Null,RLTS_MM0000,00933255,Active,,,Physical Article,0.684406036369916,Reading List
0,"Wilkie, Richard M ; Wann, John P",10.1016/S0960-9822(02)01337-4,Current biology,2002-12-10,Driving as Night Falls: The Contribution of Retinal Flow and Visual Direction to the Control of Steering,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Wilkie, Richard M ; Wann, John P",10.1016/S0960-9822(02)01337-4,Current biology,2002-12-10,Driving as Night Falls: The Contribution of Retinal Flow and Visual Direction to the Control of Steering,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Kandil, Farid I ; Rotter, Alexander ; Lappe, Markus",10.1167/9.1.11,"Journal of vision (Charlottesville, Va.)",2009-01-13,Driving is smoother and more stable when using the tangent point,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Kandil, Farid I ; Rotter, Alexander ; Lappe, Markus",10.1167/9.1.11,"Journal of vision (Charlottesville, Va.)",2009-01-13,Driving is smoother and more stable when using the tangent point,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Wilkie, Richard M ; Wann, John P",10.1167/3.11.3,"Journal of vision (Charlottesville, Va.)",2003-11-18,Eye-movements aid the control of locomotion,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Wilkie, Richard M ; Wann, John P",10.1167/3.11.3,"Journal of vision (Charlottesville, Va.)",2003-11-18,Eye-movements aid the control of locomotion,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Hartley, James ; Burnhill, Peter",10.1080/1355800770140109,Programmed learning & educational technology,1977-02-01,Fifty Guide-Lines for Improving Instructional Text,School of Design,34855_DESN5154M,00942069,Inactive,,,Physical Article,202122_DESN5154M__8895162_1,DESN5154M: DESN5154M Reading List
0,"Katz, Noomi ; Hartman-Maeir, Adina ; Ring, Haim ; Soroker, Nachum",10.1016/S0003-9993(99)90273-3,Archives of physical medicine and rehabilitation,1999,Functional disability and rehabilitation outcome in right hemisphere damaged patients with and without unilateral spatial neglect,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Katz, Noomi ; Hartman-Maeir, Adina ; Ring, Haim ; Soroker, Nachum",10.1016/S0003-9993(99)90273-3,Archives of physical medicine and rehabilitation,1999,Functional disability and rehabilitation outcome in right hemisphere damaged patients with and without unilateral spatial neglect,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"WHYTE, WILLIAM",10.1111/j.1468-2303.2006.00355.x,History and theory,2006-05,HOW DO BUILDINGS MEAN? SOME ISSUES OF INTERPRETATION IN THE HISTORY OF ARCHITECTURE,,EXLIBRIS_DEFAULT_COURSE,,Inactive,,,Physical Article,0.5184198054315963,Dummy Reading List
0,"Srinivasan, M.V",10.1016/j.cub.2003.11.005,Current biology,2003-12-02,Honeybee navigation,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Srinivasan, M.V",10.1016/j.cub.2003.11.005,Current biology,2003-12-02,Honeybee navigation,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
